<<<<<<< HEAD
key,key:userAccount,company,sector
manager-01,user-account-manager-01,"Macarena, Inc.",Telecommunications
manager-02,user-account-manager-02,լոռեմ իպսում,ლორემ იფსუმ
manager-03,user-account-manager-03,"",""
=======
key,key:userAccount,company,sector
consumer-01,user-account-consumer-01,"Macarena, Inc.",Telecommunications
consumer-02,user-account-consumer-02,լոռեմ իպսում,ლორემ იფსუმ
consumer-03,user-account-consumer-03,مرحبا بالعالم,天飽雲馬消根清歡寫尾做兒幫
>>>>>>> refs/remotes/origin/master
