key,updateMoment,step,resolutionPercentage,indicator,resolution,key:claim
tracking-log-01,2022/10/10 10:00,Test,100,false,Test resolution,claim-01
tracking-log-02,2022/10/10 10:00,Test step,20,true,Test test test,claim-02
tracking-log-03,2022/10/10 10:00,Test step,20,true,Test resolution,claim-02
tracking-log-04,2000/01/01 0:00,Test step,10,true,Test resolution,claim-03
tracking-log-05,2000/01/01 0:01,Test step,10,true,Test resolution,claim-04
tracking-log-06,2200/12/31 23:59,Test step,10,true,Test resolution,claim-05
tracking-log-07,2200/12/31 23:58,Test step,10,true,Test resolution,claim-06
tracking-log-08,2022/10/10 10:00,Lorem ipsum dolor sit ame,10,true,Test resolution,claim-07
tracking-log-09,2022/10/10 10:00,L,10,true,Test resolution,claim-08
tracking-log-10,2022/10/10 10:00,Lo,10,true,Test resolution,claim-09
tracking-log-11,2022/10/10 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",10,true,Test resolution,claim-10
tracking-log-12,2022/10/10 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",10,true,Test resolution,claim-11
tracking-log-13,2022/10/10 10:00,โลเร็ม อิปซัม,10,true,Test resolution,claim-12
tracking-log-14,2022/10/10 10:00,لوريم إيبسوم,10,true,Test resolution,claim-13
tracking-log-15,2022/10/10 10:00,洛伦·伊普森,10,true,Test resolution,claim-14
tracking-log-16,2022/10/10 10:00,<marquee>Hacked</marquee>,10,true,Test resolution,claim-15
tracking-log-17,2022/10/10 10:00,<script>alert(‘Hacked!’);</script>,10,true,Test resolution,claim-16
tracking-log-18,2022/10/10 10:00,' or 'A' = 'A,10,true,Test resolution,claim-17
tracking-log-19,2022/10/10 10:00,http://lorem.com/ipsum,10,true,Test resolution,claim-18
tracking-log-20,2022/10/10 10:00,ftp://a,10,true,Test resolution,claim-19
tracking-log-21,2022/10/10 10:00,ftp://a.b,10,true,Test resolution,claim-20
tracking-log-22,2022/10/10 10:00,http://www.lorem-ipsum.org/dolor/sit.html#doloredf,10,true,Test resolution,claim-21
tracking-log-23,2022/10/10 10:00,http://www.lorem-ipsum.org/dolor/sit.html#doloredf,10,true,Test resolution,claim-22
tracking-log-24,2022/10/10 10:00,https://www.lorem-ipsum.org,10,true,Test resolution,claim-23
tracking-log-25,2022/10/10 10:00,ftp://www.lorem-ipsum.org,10,true,Test resolution,claim-24
tracking-log-26,2022/10/10 10:00,http://www.lorem-ipsum.org/dolor/sit.html,10,true,Test resolution,claim-25
tracking-log-27,2022/10/10 10:00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,10,true,Test resolution,claim-26
